Date	Party	Leader	Seats	Seat %	Votes	Vote %
1926-09-14	Lib	W. L. Mackenzie King	116	0.5066	1397031	0.4290
1926-09-14	Cons(Hist)	Arthur Meighen	91	0.3974	1476834	0.4535
1926-09-14	Progr		11	0.0480	128060	0.0393
1926-09-14	ABUF		11	0.0480	60740	0.0187
1930-07-28	Cons(Hist)	R. B. Bennett	135	0.5720	1863115	0.4779
1930-07-28	Lib	W. L. Mackenzie King	89	0.3771	1716798	0.4550
1930-07-28	ABUF		9	0.0381	56968	0.0146
1930-07-28	Progr		3	0.0127	70822	0.0182
1935-10-14	Lib	W. L. Mackenzie King	171	0.7277	1967839	0.4468
1935-10-14	Cons(Hist)	R. B. Bennett	39	0.1660	1290671	0.2984
1935-10-14	SoCred	J. H. Blackmore	17	0.0723	180679	0.0410
1935-10-14	CCF	J. S. Woodsworth	7	0.0298	410125	0.0931
1935-10-14	Recons	H. H. Stevens	1	0.0043	384462	0.0873
1940-03-26	Lib	W. L. Mackenzie King	179	0.7585	2365979	0.5132
1940-03-26	NatGov	Robert Manion	39	0.1653	1348260	0.2924
1940-03-26	CCF	J. S. Woodsworth	8	0.0339	388103	0.0842
1940-03-26	SoCred	J. H. Blackmore	7	0.0297	46271	0.0100
1940-03-26	NewDem	William D. Herridge	3	0.0127	73083	0.0159
1945-06-11	Lib	W. L. Mackenzie King	118	0.5221	2086545	0.3978
1945-06-11	PC	John Bracken	67	0.2965	1448744	0.2762
1945-06-11	CCF	Major James Coldwell	28	0.1239	815720	0.1555
1945-06-11	SoCred	Solon Earl Low	13	0.0575	212220	0.0405
1949-06-27	Lib	Louis St. Laurent	191	0.7490	2874813	0.4915
1949-06-27	PC	George A. Drew	41	0.1608	1734261	0.2965
1949-06-27	CCF	Major James Coldwell	13	0.0510	784770	0.1342
1949-06-27	SoCred	Solon Earl Low	10	0.0392	135217	0.0231
1953-08-10	Lib	Louis St. Laurent	169	0.6550	2731633	0.4843
1953-08-10	PC	George A. Drew	51	0.1977	1749579	0.3102
1953-08-10	CCF	Major James Coldwell	23	0.0891	636310	0.1128
1953-08-10	SoCred	Solon Earl Low	15	0.0581	304553	0.0540
1957-06-10	PC	John Diefenbaker	112	0.4291	2572926	0.3850
1957-06-10	Lib	Louis St. Laurent	105	0.4023	2702573	0.4050
1957-06-10	CCF	Major James Coldwell	25	0.0958	707659	0.1060
1957-06-10	SoCred	Solon Earl Low	19	0.0728	437049	0.0660
1958-03-31	PC	John Diefenbaker	208	0.7879	3910852	0.5367
1958-03-31	Lib	Lester B. Pearson	48	0.1818	2459700	0.3375
1958-03-31	CCF	Major James Coldwell	8	0.0303	692398	0.0950
1962-06-18	PC	John Diefenbaker	116	0.4394	2865542	0.3722
1962-06-18	Lib	Lester B. Pearson	99	0.3750	2846589	0.3697
1962-06-18	SoCred	Robert N. Thompson	30	0.1136	893479	0.1161
1962-06-18	NDP	Tommy Douglas	19	0.0720	1044754	0.1357
1963-04-08	Lib	Lester B. Pearson	128	0.4848	3276996	0.4148
1963-04-08	PC	John Diefenbaker	95	0.3598	2591613	0.3280
1963-04-08	SoCred	Robert N. Thompson	24	0.0909	940703	0.1191
1963-04-08	NDP	Tommy Douglas	17	0.0644	1044701	0.1322
1965-11-08	Lib	Lester B. Pearson	131	0.4981	3099521	0.4018
1965-11-08	PC	John Diefenbaker	97	0.3688	2500113	0.3241
1965-11-08	NDP	Tommy Douglas	21	0.0798	1381658	0.1791
1965-11-08	RalCred	Réal Caouette	9	0.0342	359258	0.0466
1965-11-08	SoCred	Robert N. Thompson	5	0.0190	282454	0.0366
1968-06-25	Lib	Pierre Trudeau	154	0.5878	3686801	0.4537
1968-06-25	PC	Robert Stanfield	72	0.2748	2554397	0.3143
1968-06-25	NDP	Tommy Douglas	22	0.0840	1378263	0.1696
1968-06-25	RalCred	Réal Caouette	14	0.0534	360404	0.0443
1972-10-30	Lib	Pierre Trudeau	109	0.4160	3717804	0.3842
1972-10-30	PC	Robert Stanfield	107	0.4084	3388980	0.3502
1972-10-30	NDP	David Lewis	31	0.1183	1725719	0.1783
1972-10-30	SoCred	Réal Caouette	15	0.0573	730759	0.0755
1974-07-08	Lib	Pierre Trudeau	141	0.5361	4102853	0.4315
1974-07-08	PC	Robert Stanfield	95	0.3612	3371319	0.3546
1974-07-08	NDP	David Lewis	16	0.0608	1467748	0.1544
1974-07-08	SoCred	Réal Caouette	11	0.0418	481231	0.0506
1979-05-22	PC	Joe Clark	136	0.4823	4111606	0.3589
1979-05-22	Lib	Pierre Trudeau	114	0.4043	4595319	0.4011
1979-05-22	NDP	Ed Broadbent	26	0.0922	2048988	0.1788
1979-05-22	SoCred	Fabien Roy	6	0.0213	527604	0.0461
1980-02-18	Lib	Pierre Trudeau	147	0.5213	4855425	0.4434
1980-02-18	PC	Joe Clark	103	0.3652	3552994	0.3245
1980-02-18	NDP	Ed Broadbent	32	0.1135	2165087	0.1977
1984-09-04	PC	Brian Mulroney	211	0.7509	6278818	0.5003
1984-09-04	Lib	John Turner	40	0.1423	3516486	0.2802
1984-09-04	NDP	Ed Broadbent	30	0.1068	2359915	0.1881
1988-11-21	PC	Brian Mulroney	169	0.5729	5667543	0.4302
1988-11-21	Lib	John Turner	83	0.2814	4205072	0.3192
1988-11-21	NDP	Ed Broadbent	43	0.1458	2685263	0.2038
1993-10-25	Lib	Jean Chrétien	177	0.6020	5647952	0.4124
1993-10-25	BQ	Lucien Bouchard	54	0.1837	1846024	0.1352
1993-10-25	Reform	Preston Manning	52	0.1769	2559245	0.1869
1993-10-25	NDP	Audrey McLaughlin	9	0.0306	939575	0.0688
1993-10-25	PC	Kim Campbell	2	0.0068	2186422	0.1604
1997-06-02	Lib	Jean Chrétien	155	0.5167	4994277	0.3846
1997-06-02	Reform	Preston Manning	60	0.2000	2513080	0.1935
1997-06-02	BQ	Gilles Duceppe	44	0.1467	1385821	0.1067
1997-06-02	NDP	Alexa McDonough	21	0.0700	1434509	0.1105
1997-06-02	PC	Jean Charest	20	0.0667	2446705	0.1884
2000-11-27	Lib	Jean Chrétien	172	0.5714	5252031	0.4085
2000-11-27	Alliance	Stockwell Day	66	0.2193	3276929	0.2549
2000-11-27	BQ	Gilles Duceppe	38	0.1262	1377727	0.1072
2000-11-27	NDP	Alexa McDonough	13	0.0432	1093868	0.0851
2000-11-27	PC	Joe Clark	12	0.0399	1566998	0.1219
2004-06-28	Lib	Paul Martin	135	0.4397	4982220	0.3673
2004-06-28	Cons	Stephen Harper	99	0.3225	4019498	0.2963
2004-06-28	BQ	Gilles Duceppe	54	0.1759	1680109	0.1239
2004-06-28	NDP	Jack Layton	19	0.0619	2127403	0.1568
2006-01-23	Cons	Stephen Harper	124	0.4039	5374071	0.3627
2006-01-23	Lib	Paul Martin	103	0.3355	4479415	0.3023
2006-01-23	BQ	Gilles Duceppe	51	0.1661	1553201	0.1048
2006-01-23	NDP	Jack Layton	29	0.0945	2589597	0.1748
2008-10-14	Cons	Stephen Harper	143	0.4673	5209069	0.3765
2008-10-14	Lib	Stéphane Dion	77	0.2516	3633185	0.2626
2008-10-14	BQ	Gilles Duceppe	49	0.1601	1379991	0.0998
2008-10-14	NDP	Jack Layton	37	0.1209	2515288	0.1818
2011-05-02	Cons	Stephen Harper	166	0.5390	5832401	0.3962
2011-05-02	NDP	Jack Layton	103	0.3344	4508474	0.3063
2011-05-02	Lib	Michael Ignatieff	34	0.1104	2783175	0.1891
2011-05-02	BQ	Gilles Duceppe	4	0.0130	889788	0.0604
2011-05-02	Green	Elizabeth May	1	0.0032	576221	0.0391
2015-10-19	Lib	Justin Trudeau	184	0.5444	6943276	0.3947
2015-10-19	Cons	Stephen Harper	99	0.2929	5613614	0.3189
2015-10-19	NDP	Tom Mulcair	44	0.1302	3470350	0.1971
2015-10-19	BQ	Gilles Duceppe	10	0.0296	821144	0.0466
2015-10-19	Green	Elizabeth May	1	0.0030	602944	0.0345
